id	label	source
http://eurovoc.europa.eu/6351	SKILL OBSOLESCENCE	EUROVOC
http://eurovoc.europa.eu/3542	ENTREPRENEUR	EUROVOC
http://eurovoc.europa.eu/6749	ENTREPRENEURSHIP	EUROVOC
http://eurovoc.europa.eu/355	ANNOUNCEMENT OF CANDIDACY	EUROVOC
http://eurovoc.europa.eu/3556	FRINGE BENEFIT	EUROVOC
http://eurovoc.europa.eu/3273	REMUNERATION OF WORK	EUROVOC
http://eurovoc.europa.eu/356	EXPLANATION OF VOTING	EUROVOC
http://eurovoc.europa.eu/4750	VOTE	EUROVOC
http://eurovoc.europa.eu/3563	CATERING	EUROVOC
http://eurovoc.europa.eu/7341	SCHOOL CANTEEN	EUROVOC
http://eurovoc.europa.eu/358	ECONOMIC TAKE-OFF	EUROVOC
http://eurovoc.europa.eu/427	ECONOMIC DEVELOPMENT	EUROVOC
http://eurovoc.europa.eu/361	DEVOLUTION	EUROVOC
http://eurovoc.europa.eu/3654	EUREKA	EUROVOC
http://eurovoc.europa.eu/2478	RESEARCH POLICY	EUROVOC
http://eurovoc.europa.eu/3658	DEALER	EUROVOC
http://eurovoc.europa.eu/3676	CONTADORA GROUP	EUROVOC
http://eurovoc.europa.eu/2190	LATIN AMERICAN ORGANISATION	EUROVOC
http://eurovoc.europa.eu/374	DELINQUENCY	EUROVOC
http://eurovoc.europa.eu/307	CRIMINOLOGY	EUROVOC
http://eurovoc.europa.eu/3179	SOCIAL REHABILITATION	EUROVOC
http://eurovoc.europa.eu/3347	PREVENTION OF DELINQUENCY	EUROVOC
http://eurovoc.europa.eu/3516	REINTEGRATION INTO WORKING LIFE	EUROVOC
http://eurovoc.europa.eu/4045	PUBLIC SAFETY	EUROVOC
http://eurovoc.europa.eu/4742	THEFT	EUROVOC
http://eurovoc.europa.eu/3798	SPECIAL CHEMICALS	EUROVOC
http://eurovoc.europa.eu/1362	CHEMICAL INDUSTRY	EUROVOC
http://eurovoc.europa.eu/3854	WAGE EARNER	EUROVOC
http://eurovoc.europa.eu/386	DENATURING	EUROVOC
http://eurovoc.europa.eu/3874	APPARATUS BASED ON THE USE OF RAYS	EUROVOC
http://eurovoc.europa.eu/5306	NUCLEAR MEDICINE	EUROVOC
http://eurovoc.europa.eu/4110	LASER PHYSICS	EUROVOC
http://eurovoc.europa.eu/3881	BUILDING SLAB	EUROVOC
http://eurovoc.europa.eu/169	PLYWOOD	EUROVOC
http://eurovoc.europa.eu/988	WOOD FIBRE	EUROVOC
http://eurovoc.europa.eu/3896	PRIVATE LIMITED COMPANY	EUROVOC
http://eurovoc.europa.eu/390	DEPARTMENT (FRANCE)	EUROVOC
http://eurovoc.europa.eu/3919	CHILD PROTECTION	EUROVOC
http://eurovoc.europa.eu/6132	PAEDOPHILIA	EUROVOC
http://eurovoc.europa.eu/4552	CHILD LABOUR	EUROVOC
http://eurovoc.europa.eu/6553	CHILD PORNOGRAPHY	EUROVOC
http://eurovoc.europa.eu/6738	STREET CHILDREN	EUROVOC
http://eurovoc.europa.eu/759	ABANDONED CHILD	EUROVOC
http://eurovoc.europa.eu/2823	PROSTITUTION	EUROVOC
http://eurovoc.europa.eu/3937	TIME-SHARING	EUROVOC
http://eurovoc.europa.eu/3965	LIMITATION OF LEGAL PROCEEDINGS	EUROVOC
http://eurovoc.europa.eu/3966	LEGAL HEARING	EUROVOC
http://eurovoc.europa.eu/3977	LIST VOTING SYSTEM	EUROVOC
http://eurovoc.europa.eu/3982	UNINOMINAL VOTING SYSTEM	EUROVOC
http://eurovoc.europa.eu/4009	INTERNATIONAL LAW - NATIONAL LAW	EUROVOC
http://eurovoc.europa.eu/4013	QUATERNARY SECTOR	EUROVOC
http://eurovoc.europa.eu/4032	MERGER TREATY	EUROVOC
http://eurovoc.europa.eu/4479	EUROPEAN TREATIES	EUROVOC
http://eurovoc.europa.eu/4054	EURES	EUROVOC
http://eurovoc.europa.eu/1802	LABOUR MARKET	EUROVOC
http://eurovoc.europa.eu/4113	EMPLOYMENT SERVICE	EUROVOC
http://eurovoc.europa.eu/4119	PROMULGATION OF A LAW	EUROVOC
http://eurovoc.europa.eu/4132	SUBSIDIARY BUDGET	EUROVOC
http://eurovoc.europa.eu/1018	PUBLIC FINANCE	EUROVOC
http://eurovoc.europa.eu/4143	SOCIAL SERVICES	EUROVOC
http://eurovoc.europa.eu/4564	SOCIAL WORKER	EUROVOC
http://eurovoc.europa.eu/4170	SYRUP	EUROVOC
http://eurovoc.europa.eu/4175	PRESIDENT OF AN INSTITUTION	EUROVOC
http://eurovoc.europa.eu/439592	PRESIDENT OF THE EUROPEAN COUNCIL	EUROVOC
http://eurovoc.europa.eu/419	CIVIL DISOBEDIENCE	EUROVOC
http://eurovoc.europa.eu/1441	FAILURE TO REPORT FOR DUTY	EUROVOC
http://eurovoc.europa.eu/2097	CONSCIENTIOUS OBJECTION	EUROVOC
http://eurovoc.europa.eu/2155	POLITICAL OPPOSITION	EUROVOC
http://eurovoc.europa.eu/5591	MILITARY DISCIPLINE	EUROVOC
http://eurovoc.europa.eu/4198	CONSUMER SOCIETY	EUROVOC
http://eurovoc.europa.eu/4200	LIMITED PARTNERSHIP	EUROVOC
http://eurovoc.europa.eu/4208	OWN CONSUMPTION	EUROVOC
http://eurovoc.europa.eu/615	SUBSISTENCE FARMING	EUROVOC
http://eurovoc.europa.eu/4213	SAMPLE SURVEY	EUROVOC
http://eurovoc.europa.eu/4214	OPINION POLL	EUROVOC
http://eurovoc.europa.eu/4275	POLITICAL STATUS	EUROVOC
http://eurovoc.europa.eu/3476	INTERNATIONAL ISSUE	EUROVOC
http://eurovoc.europa.eu/4286	MINIMUM STOCK	EUROVOC
http://eurovoc.europa.eu/4321	VOTES CAST	EUROVOC
http://eurovoc.europa.eu/360	COUNTING OF THE VOTES	EUROVOC
http://eurovoc.europa.eu/435228	OPEN ACCESS PUBLISHING	EUROVOC
http://eurovoc.europa.eu/529	COPYRIGHT	EUROVOC
http://eurovoc.europa.eu/4392	VAT RATE	EUROVOC
http://eurovoc.europa.eu/4397	ASSESSMENT OF PRICES	EUROVOC
http://eurovoc.europa.eu/4403	CHARGE HAVING EQUIVALENT EFFECT	EUROVOC
http://eurovoc.europa.eu/4406	BUSINESS TAX	EUROVOC
http://eurovoc.europa.eu/1317	LOCAL TAX	EUROVOC
http://eurovoc.europa.eu/441001	EXECUTIVE AGENCY	EUROVOC
http://eurovoc.europa.eu/5769	EU OFFICE OR AGENCY	EUROVOC
http://eurovoc.europa.eu/4411	CZECHOSLOVAKIA	EUROVOC
http://eurovoc.europa.eu/2291	EASTERN BLOC COUNTRIES	EUROVOC
http://eurovoc.europa.eu/5087	COMECON COUNTRIES	EUROVOC
http://eurovoc.europa.eu/4416	FOOD TECHNOLOGY	EUROVOC
http://eurovoc.europa.eu/1360	FOOD INDUSTRY	EUROVOC
http://eurovoc.europa.eu/5967	FOOD CHEMISTRY	EUROVOC
http://eurovoc.europa.eu/6111	ENZYME	EUROVOC
http://eurovoc.europa.eu/87	PREPARATION FOR MARKET	EUROVOC
http://eurovoc.europa.eu/4421	INTERMEDIATE TECHNOLOGY	EUROVOC
http://eurovoc.europa.eu/5973	CHOICE OF TECHNOLOGY	EUROVOC
http://eurovoc.europa.eu/4428	CABLE DISTRIBUTION	EUROVOC
http://eurovoc.europa.eu/4461	EAST TIMOR	EUROVOC
http://eurovoc.europa.eu/2858	SOUTH-EAST ASIA	EUROVOC
http://eurovoc.europa.eu/c_b2c019c8	SMALL STATE	EUROVOC
http://eurovoc.europa.eu/4464	TICKET	EUROVOC
http://eurovoc.europa.eu/4511	CARRIAGE OF PASSENGERS	EUROVOC
http://eurovoc.europa.eu/448	DIRECTIVE	EUROVOC
http://eurovoc.europa.eu/449	DIRECTIVE (EU)	EUROVOC
